"Tabela 4709 - População residente, Variação absoluta de população residente e Taxa de crescimento geométrico"
"Variável - População residente (Pessoas)"
"Cód.";"Unidade da Federação e Município";"Ano"
"3545209";"Salto (SP)";"134319"
"3545308";"Salto de Pirapora (SP)";"43748"
"3545407";"Salto Grande (SP)";"9050"
"3545506";"Sandovalina (SP)";"3645"
"3545605";"Santa Adélia (SP)";"14018"
"3545704";"Santa Albertina (SP)";"6393"
"3545803";"Santa Bárbara d'Oeste (SP)";"183347"
"3546009";"Santa Branca (SP)";"13975"
"3546108";"Santa Clara d'Oeste (SP)";"2598"
"3546207";"Santa Cruz da Conceição (SP)";"4277"
"3546256";"Santa Cruz da Esperança (SP)";"2116"
"3546306";"Santa Cruz das Palmeiras (SP)";"28864"
"3546405";"Santa Cruz do Rio Pardo (SP)";"46442"
"3546504";"Santa Ernestina (SP)";"6118"
"3546603";"Santa Fé do Sul (SP)";"34794"
"3546702";"Santa Gertrudes (SP)";"23611"
"3546801";"Santa Isabel (SP)";"53174"
"3546900";"Santa Lúcia (SP)";"7149"
"3547007";"Santa Maria da Serra (SP)";"5243"
"3547106";"Santa Mercedes (SP)";"2956"
"3547205";"Santana da Ponte Pensa (SP)";"1670"
"3547304";"Santana de Parnaíba (SP)";"154105"
"3547403";"Santa Rita d'Oeste (SP)";"2733"
"3547502";"Santa Rita do Passa Quatro (SP)";"24833"
"3547601";"Santa Rosa de Viterbo (SP)";"23411"
"3547650";"Santa Salete (SP)";"1645"
"3547700";"Santo Anastácio (SP)";"17963"
"3547809";"Santo André (SP)";"748919"
"3547908";"Santo Antônio da Alegria (SP)";"6775"
"3548005";"Santo Antônio de Posse (SP)";"23244"
"3548054";"Santo Antônio do Aracanguá (SP)";"8379"
"3548104";"Santo Antônio do Jardim (SP)";"6126"
"3548203";"Santo Antônio do Pinhal (SP)";"7133"
"3548302";"Santo Expedito (SP)";"3000"
"3548401";"Santópolis do Aguapeí (SP)";"3899"
"3548500";"Santos (SP)";"418608"
"3548609";"São Bento do Sapucaí (SP)";"11674"
"3548708";"São Bernardo do Campo (SP)";"810729"
"3548807";"São Caetano do Sul (SP)";"165655"
"3548906";"São Carlos (SP)";"254857"
"3549003";"São Francisco (SP)";"2602"
"3549102";"São João da Boa Vista (SP)";"92547"
"3549201";"São João das Duas Pontes (SP)";"2580"
"3549250";"São João de Iracema (SP)";"1846"
"3549300";"São João do Pau d'Alho (SP)";"2242"
"3549409";"São Joaquim da Barra (SP)";"48558"
"3549508";"São José da Bela Vista (SP)";"7626"
"3549607";"São José do Barreiro (SP)";"3853"
"3549706";"São José do Rio Pardo (SP)";"52205"
"3549805";"São José do Rio Preto (SP)";"480393"
"3549904";"São José dos Campos (SP)";"697054"
"3549953";"São Lourenço da Serra (SP)";"16067"
"3550001";"São Luiz do Paraitinga (SP)";"10337"
"3550100";"São Manuel (SP)";"37289"
"3550209";"São Miguel Arcanjo (SP)";"32039"
"3550308";"São Paulo (SP)";"11451999"
"3550407";"São Pedro (SP)";"38256"
"3550506";"São Pedro do Turvo (SP)";"7217"
"3550605";"São Roque (SP)";"79484"
"3550704";"São Sebastião (SP)";"81595"
"3550803";"São Sebastião da Grama (SP)";"10441"
"3550902";"São Simão (SP)";"13442"
"3551009";"São Vicente (SP)";"329911"
"3551108";"Sarapuí (SP)";"10369"
"3551207";"Sarutaiá (SP)";"3704"
"3551306";"Sebastianópolis do Sul (SP)";"3130"
"3551405";"Serra Azul (SP)";"12746"
"3551504";"Serrana (SP)";"43909"
"3551603";"Serra Negra (SP)";"29894"
"3551702";"Sertãozinho (SP)";"126887"
"3551801";"Sete Barras (SP)";"12730"
"3551900";"Severínia (SP)";"14576"
"3552007";"Silveiras (SP)";"6186"
"3552106";"Socorro (SP)";"40122"
"3552205";"Sorocaba (SP)";"723682"
"3552304";"Sud Mennucci (SP)";"7355"
"3552403";"Sumaré (SP)";"279545"
"3552502";"Suzano (SP)";"307429"
"3552551";"Suzanápolis (SP)";"3408"
"3552601";"Tabapuã (SP)";"11323"
"3552700";"Tabatinga (SP)";"14769"
"3552809";"Taboão da Serra (SP)";"273542"
"3552908";"Taciba (SP)";"6260"
"3553005";"Taguaí (SP)";"12669"
"3553104";"Taiaçu (SP)";"5677"
"3553203";"Taiúva (SP)";"6548"
"3553302";"Tambaú (SP)";"21435"
"3553401";"Tanabi (SP)";"25265"
"3553500";"Tapiraí (SP)";"7996"
"3553609";"Tapiratiba (SP)";"11816"
"3553658";"Taquaral (SP)";"2619"
"3553708";"Taquaritinga (SP)";"52260"
"3553807";"Taquarituba (SP)";"24350"
"3553856";"Taquarivaí (SP)";"6876"
"3553906";"Tarabai (SP)";"6536"
"3553955";"Tarumã (SP)";"14882"
"3554003";"Tatuí (SP)";"123942"
"3554102";"Taubaté (SP)";"310739"
"3554201";"Tejupá (SP)";"4127"
"3554300";"Teodoro Sampaio (SP)";"22173"
"3554409";"Terra Roxa (SP)";"7904"
"3554508";"Tietê (SP)";"37663"
"3554607";"Timburi (SP)";"2464"
"3554656";"Torre de Pedra (SP)";"2046"
"3554706";"Torrinha (SP)";"9335"
"3554755";"Trabiju (SP)";"1682"
"3554805";"Tremembé (SP)";"51173"
"3554904";"Três Fronteiras (SP)";"6804"
"3554953";"Tuiuti (SP)";"6778"
"3555000";"Tupã (SP)";"63928"
"3555109";"Tupi Paulista (SP)";"15854"
"3555208";"Turiúba (SP)";"1818"
"3555307";"Turmalina (SP)";"1669"
"3555356";"Ubarana (SP)";"5365"
"3555406";"Ubatuba (SP)";"92981"
"3555505";"Ubirajara (SP)";"5132"
"3555604";"Uchoa (SP)";"10394"
"3555703";"União Paulista (SP)";"1603"
"3555802";"Urânia (SP)";"8833"
"3555901";"Uru (SP)";"1387"
"3556008";"Urupês (SP)";"13744"
"3556107";"Valentim Gentil (SP)";"14098"
"3556206";"Valinhos (SP)";"126373"
"3556305";"Valparaíso (SP)";"24241"
"3556354";"Vargem (SP)";"10512"
"3556404";"Vargem Grande do Sul (SP)";"40133"
"3556453";"Vargem Grande Paulista (SP)";"50415"
"3556503";"Várzea Paulista (SP)";"115771"
"3556602";"Vera Cruz (SP)";"10176"
"3556701";"Vinhedo (SP)";"76540"
"3556800";"Viradouro (SP)";"17414"
"3556909";"Vista Alegre do Alto (SP)";"8109"
"3556958";"Vitória Brasil (SP)";"1794"
"3557006";"Votorantim (SP)";"127923"
"3557105";"Votuporanga (SP)";"96634"
"3557154";"Zacarias (SP)";"2692"
"3557204";"Chavantes (SP)";"12211"
"3557303";"Estiva Gerbi (SP)";"11295"
"Fonte: IBGE - Censo Demográfico"

"Notas"
"1- Dados do Universo."
"2- Para a obtenção da variação absoluta e da taxa de crescimento geométrico do período 2010/2022 foram utilizadas a população residente em 2010 (reconstituída de acordo com a base territorial de 2022) e a população residente em 2022, sendo que para este último ano foi incluída a população estimada (aproximadamente 8 milhões de habitantes) para os domicílios particulares permanentes ocupados sem entrevista."
"3- Os dados apresentados foram atualizados em 27/10/23 e se referem aos dados coletados até o dia 28/05/2023, com a incorporação das revisões realizadas entre 29/05/2023 e 07/07/2023."
"4- Os dados referentes aos municípios Abel Figueiredo (PA) e São Pedro da Água Branca (MA) foram corrigidos no dia 22/12/2023, impactando nos totais dos estados do Pará e do Maranhão e nos totais das Grandes Regiões do Norte e Nordeste."
""
"Legenda"
"Símbolo";"Significado"
"-";"Zero absoluto, não resultante de um cálculo ou arredondamento.
Ex: Em determinado município não existem pessoas de 14 anos de idade sem instrução."
"0";"Zero resultante de um cálculo ou arredondamento.
Ex: A inflação do feijão em determinada Região Metropolitana foi 0.
Determinado município produziu 400 kg de sementes de girassol e os dados da tabela são expressos em toneladas."
"X";"Valor inibido para não identificar o informante.
Ex: Determinado município só possui uma empresa produtora de cimento, logo o valor de sua produção deve ser inibido."
"..";"Valor não se aplica.
Ex: Não se pode obter o total da produção agrícola em determinado município quando os produtos agrícolas são contabilizados com unidades de medida distintas."
"...";"Valor não disponível.
Ex: A produção de feijão em determinado município não foi pesquisada ou determinado município não existia no ano da pesquisa."
"A a Z
(exceto X)";"Significa uma faixa de valores. Varia em função da tabela (se for o caso).
Ex: O nível de precisão da produção estimada de combustíveis está na faixa A (95 a 100%)"
